|职位|单位|地点|链接
3|药学系博士后（动物免疫应激...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/531459.htm
4|博士后（根据个人背景自由选...|深圳大学医学部|广东省|https://www.jobmd.cn/work/456151.htm
5|博士后（消化道肿瘤转移、代...|深圳大学医学部|广东省|https://www.jobmd.cn/work/456150.htm
6|博士后（消化道肿瘤微环境的...|深圳大学医学部|广东省|https://www.jobmd.cn/work/456149.htm
7|博士后（深圳大学医学部刘宝...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/439401.htm
8|博士后（抗衰老与再生医学研...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/438958.htm
9|博士后（肿瘤研究中心）|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/435984.htm
10|博士后（神经科）|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/431009.htm
11|博士后（糖尿病 肥胖 代谢病...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/427126.htm
12|博士后（胃肠道激素与糖代谢...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/424169.htm
13|博士后（脂质代谢紊乱与疾病...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/424168.htm
